what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1338618231275
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338618233618
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338618233709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338618239183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618252005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618372104
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338618374801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618378997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618382666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618395149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618408482
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1338618428269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338618429137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618441350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618477673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338618478456
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338618485053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618501054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618534284
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338618536341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618540077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618575768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618585448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1338618600572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618615433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618645432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618753763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1338618757860
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1338618758005
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338618758868
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1338618790983
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1338618791084
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1338618791191
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1338618791260
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1338618791286
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1338618791379
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1338618791400
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1338618791586
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1338618791588
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1338618792212
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1338618798347
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1338618798377
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1338618798405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618799610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618799806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338618801247
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1338618808822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338618811116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618825014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618956279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618962020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618963010
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338618963412
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1338618964399
